id,beforeWord,afterWord,customId
"1","A.P.C.","아페쎄","bcm499"
"2","Acne Studios","아크네 스튜디오","bcm499"
"3","adidas","아디다스","bcm499"
"4","adidas by Stella McCartney","아디다스 바이 스텔라 맥카트니","bcm499"
"5","adidas Yeezy","아디다스 이지","bcm499"
"6","Alaïa","알라이아","bcm499"
"7","Alaia Eyewear","알라이아 아이웨어","bcm499"
"8","Alexander McQueen","알렉산더 맥퀸","bcm499"
"9","Alexander McQueen Eyewear","알렉산더 맥퀸 아이웨어","bcm499"
"10","Alexander McQueen Pre-Owned","알렉산더 맥퀸 프리오운드","bcm499"
"11","Alexander Wang","알렉산더 왕","bcm499"
"12","AMI Paris","아미 파리","bcm499"
"13","Arc'teryx","아크테릭스","bcm499"
"14","ASICS","아식스","bcm499"
"15","Auralee","오라리","bcm499"
"16","Autry","오트리","bcm499"
"17","Balenciaga","발렌시아가","bcm499"
"18","Balenciaga Eyewear","발렌시아가 아이웨어","bcm499"
"19","Balenciaga Pre-Owned","발렌시아가 프리오운드","bcm499"
"20","Bally","발리","bcm499"
"21","Balmain","발망","bcm499"
"22","Balmain Eyewear","발망 아이웨어","bcm499"
"23","Balmain Pre-Owned","발망 프리오운드","bcm499"
"24","Barbour","바버","bcm499"
"25","Bell & Ross","벨앤로스","bcm499"
"26","Boucheron Eyewear","부쉐론 아이웨어","bcm499"
"27","Boucheron Pre-Owned","부쉐론 프리오운드","bcm499"
"28","Brunello Cucinelli","브루넬로 쿠치넬리","bcm499"
"29","Brunello Cucinelli Vintage","브루넬로 쿠치넬리 빈티지","bcm499"
"30","Burberry","버버리","bcm499"
"31","Burberry Eyewear","버버리 아이웨어","bcm499"
"32","Burberry Pre-Owned","버버리 프리오운드","bcm499"
"33","Bvlgari","불가리","bcm499"
"34","Bvlgari Pre-Owned","불가리 프리오운드","bcm499"
"35","BY FAR","바이파","bcm499"
"36","C.P. Company","씨피 컴퍼니","bcm499"
"37","C.P. Company Pre-Owned","씨피 컴퍼니 프리오운드","bcm499"
"38","Calvin Klein","캘빈 클라인","bcm499"
"39","Calvin Klein Jeans","캘빈 클라인 진","bcm499"
"40","Camper","캠퍼","bcm499"
"41","Canada Goose","캐나다구스","bcm499"
"42","Carhartt WIP","칼하트 WIP","bcm499"
"43","Cartier","까르띠에","bcm499"
"44","Cartier Eyewear","까르띠에 아이웨어","bcm499"
"45","Celine Pre-Owned","셀린느 프리오운드","bcm499"
"46","CHANEL Pre-Owned","샤넬 프리오운드","bcm499"
"47","Chloé","끌로에","bcm499"
"48","Chloé Eyewear","끌로에 아이웨어","bcm499"
"49","Chloé Pre-Owned","끌로에 프리오운드","bcm499"
"50","Chopard Eyewear","쇼파드 아이웨어","bcm499"
"51","Chopard Pre-Owned","쇼파드 프리오운드","bcm499"
"52","Christian Dior Pre-Owned","Christian 디올 프리오운드","bcm499"
"53","Comme Des Garçons","꼼데가르송","bcm499"
"54","Comme Des Garçons Comme Des Garçons","꼼데가르송 꼼데가르송","bcm499"
"55","Comme Des Garçons Girl","꼼데가르송 Girl","bcm499"
"56","Comme Des Garçons Shirt","꼼데가르송 Shirt","bcm499"
"57","Comme Des Garçons Wallet","꼼데가르송 Wallet","bcm499"
"58","Comme des Garçons x Salomon","꼼데가르송 x Salomon","bcm499"
"59","Common Projects","커먼 프로젝트","bcm499"
"60","Courrèges","꾸레쥬","bcm499"
"61","Courrèges Pre-Owned","꾸레쥬 프리오운드","bcm499"
"62","Damiani","다미아니","bcm499"
"63","Diesel","디젤","bcm499"
"64","Dolce & Gabbana","돌체앤가바나","bcm499"
"65","Dolce & Gabbana Eyewear","돌체앤가바나 아이웨어","bcm499"
"66","Dolce & Gabbana Pre-Owned","돌체앤가바나 프리오운드","bcm499"
"67","DRAGON DIFFUSION","드래곤 디퓨전","bcm499"
"68","DRIES VAN NOTEN","드리스 반 노튼","bcm499"
"69","DSQUARED2","디스퀘어드2","bcm499"
"70","DSQUARED2 EYEWEAR","디스퀘어드2 아이웨어","bcm499"
"71","Emporio Armani","엠포리오 아르마니","bcm499"
"72","Emporio Armani Pre-Owned","엠포리오 아르마니 프리오운드","bcm499"
"73","Fear Of God","피어오브갓","bcm499"
"74","FEAR OF GOD ESSENTIALS","피어오브갓 에센셜","bcm499"
"75","FENDI","펜디","bcm499"
"76","Fendi Pre-Owned","펜디 프리오운드","bcm499"
"77","Ferragamo","페라가모","bcm499"
"78","Ferragamo Eyewear","페라가모 아이웨어","bcm499"
"79","Ferragamo Pre-Owned","페라가모 프리오운드","bcm499"
"80","GANNI","가니","bcm499"
"81","Givenchy","지방시","bcm499"
"82","Givenchy Eyewear","지방시 아이웨어","bcm499"
"83","Givenchy Pre-Owned","지방시 프리오운드","bcm499"
"84","Golden Goose","골든구스","bcm499"
"85","Gucci","구찌","bcm499"
"86","Gucci Eyewear","구찌 아이웨어","bcm499"
"87","Gucci Pre-Owned","구찌 프리오운드","bcm499"
"88","Hermès Pre-Owned","에르메스 프리오운드","bcm499"
"89","Herno","에르노","bcm499"
"90","ISABEL MARANT","이자벨 마랑","bcm499"
"91","Isabel Marant Eyewear","이자벨 마랑 아이웨어","bcm499"
"92","Issey Miyake","이세이 미야케","bcm499"
"93","Issey Miyake Pre-Owned","이세이 미야케 프리오운드","bcm499"
"94","IWC Schaffhausen","IWC 샤프하우젠","bcm499"
"95","Jacquemus","자크뮈스","bcm499"
"96","Jacquemus Pre-Owned","자크뮈스 프리오운드","bcm499"
"97","Jil Sander","질샌더","bcm499"
"98","Jil Sander Pre-Owned","질샌더 프리오운드","bcm499"
"99","Jimmy Choo","지미추","bcm499"
"100","Jimmy Choo Eyewear","지미추 아이웨어","bcm499"
"101","Jimmy Choo Pre-Owned","지미추 프리오운드","bcm499"
"102","Jordan","조던","bcm499"
