designerCode,beforeWord,afterWord,customId
"49486","A.P.C.","아페쎄","bcm499"
"8880292","Acne Studios","아크네 스튜디오","bcm499"
"214504","adidas","아디다스","bcm499"
"1693960","adidas by Stella McCartney","아디다스 바이 스텔라 맥카트니","bcm499"
"4968477","adidas Yeezy","아디다스 이지","bcm499"
"3428611","Alaïa","알라이아","bcm499"
"146314947","Alaia Eyewear","알라이아 아이웨어","bcm499"
"2765","Alexander McQueen","알렉산더 맥퀸","bcm499"
"5220345","Alexander McQueen Eyewear","알렉산더 맥퀸 아이웨어","bcm499"
"131551","Alexander McQueen Pre-Owned","알렉산더 맥퀸 프리오운드","bcm499"
"4062","Alexander Wang","알렉산더 왕","bcm499"
"228660","AMI Paris","아미 파리","bcm499"
"6893128","Arc'teryx","아크테릭스","bcm499"
"36241","ASICS","아식스","bcm499"
"3977865","Auralee","오라리","bcm499"
"15615986","Autry","오트리","bcm499"
"2450","Balenciaga","발렌시아가","bcm499"
"3613401","Balenciaga Eyewear","발렌시아가 아이웨어","bcm499"
"92762","Balenciaga Pre-Owned","발렌시아가 프리오운드","bcm499"
"15652","Bally","발리","bcm499"
"18370","Balmain","발망","bcm499"
"14828843","Balmain Eyewear","발망 아이웨어","bcm499"
"131835","Balmain Pre-Owned","발망 프리오운드","bcm499"
"6959","Barbour","바버","bcm499"
"3539485","Bell & Ross","벨앤로스","bcm499"
"8414096","Boucheron Eyewear","부쉐론 아이웨어","bcm499"
"17086625","Boucheron Pre-Owned","부쉐론 프리오운드","bcm499"
"90739","Brunello Cucinelli","브루넬로 쿠치넬리","bcm499"
"516548","Brunello Cucinelli Vintage","브루넬로 쿠치넬리 빈티지","bcm499"
"769627","Burberry","버버리","bcm499"
"8822582","Burberry Eyewear","버버리 아이웨어","bcm499"
"134637","Burberry Pre-Owned","버버리 프리오운드","bcm499"
"650994","Bvlgari","불가리","bcm499"
"1741833","Bvlgari Pre-Owned","불가리 프리오운드","bcm499"
"7553889","BY FAR","바이파","bcm499"
"67242","C.P. Company","씨피 컴퍼니","bcm499"
"15165388","C.P. Company Pre-Owned","씨피 컴퍼니 프리오운드","bcm499"
"3977820","Calvin Klein","캘빈 클라인","bcm499"
"5589921","Calvin Klein Jeans","캘빈 클라인 진","bcm499"
"6864","Camper","캠퍼","bcm499"
"190721","Canada Goose","캐나다구스","bcm499"
"10845712","Carhartt WIP","칼하트 WIP","bcm499"
"120150","Cartier","까르띠에","bcm499"
"11508550","Cartier Eyewear","까르띠에 아이웨어","bcm499"
"123926","Celine Pre-Owned","셀린느 프리오운드","bcm499"
"57889","CHANEL Pre-Owned","샤넬 프리오운드","bcm499"
"2747","Chloé","끌로에","bcm499"
"5220351","Chloé Eyewear","끌로에 아이웨어","bcm499"
"104857703","Chloé Pre-Owned","끌로에 프리오운드","bcm499"
"11091674","Chopard Eyewear","쇼파드 아이웨어","bcm499"
"14657558","Chopard Pre-Owned","쇼파드 프리오운드","bcm499"
"50666","Christian Dior Pre-Owned","Christian 디올 프리오운드","bcm499"
"7199","Comme Des Garçons","꼼데가르송","bcm499"
"251057","Comme Des Garçons Comme Des Garçons","꼼데가르송 꼼데가르송","bcm499"
"1862611","Comme Des Garçons Girl","꼼데가르송 Girl","bcm499"
"6797","Comme Des Garçons Shirt","꼼데가르송 Shirt","bcm499"
"1590566","Comme Des Garçons Wallet","꼼데가르송 Wallet","bcm499"
"89286039","Comme des Garçons x Salomon","꼼데가르송 x Salomon","bcm499"
"2853","Common Projects","커먼 프로젝트","bcm499"
"711987","Courrèges","꾸레쥬","bcm499"
"17119","Courrèges Pre-Owned","꾸레쥬 프리오운드","bcm499"
"43282176","Damiani","다미아니","bcm499"
"117198","Diesel","디젤","bcm499"
"3440","Dolce & Gabbana","돌체앤가바나","bcm499"
"5220385","Dolce & Gabbana Eyewear","돌체앤가바나 아이웨어","bcm499"
"130944","Dolce & Gabbana Pre-Owned","돌체앤가바나 프리오운드","bcm499"
"36182","DRAGON DIFFUSION","드래곤 디퓨전","bcm499"
"100335705","DRIES VAN NOTEN","드리스 반 노튼","bcm499"
"19003","DSQUARED2","디스퀘어드2","bcm499"
"5220371","DSQUARED2 EYEWEAR","디스퀘어드2 아이웨어","bcm499"
"4165","Emporio Armani","엠포리오 아르마니","bcm499"
"240415","Emporio Armani Pre-Owned","엠포리오 아르마니 프리오운드","bcm499"
"1396825","Fear Of God","피어오브갓","bcm499"
"394507","FEAR OF GOD ESSENTIALS","피어오브갓 에센셜","bcm499"
"84259709","FENDI","펜디","bcm499"
"70061","Fendi Pre-Owned","펜디 프리오운드","bcm499"
"120161","Ferragamo","페라가모","bcm499"
"5757850","Ferragamo Eyewear","페라가모 아이웨어","bcm499"
"120236","Ferragamo Pre-Owned","페라가모 프리오운드","bcm499"
"1511102","GANNI","가니","bcm499"
"3064","Givenchy","지방시","bcm499"
"5321180","Givenchy Eyewear","지방시 아이웨어","bcm499"
