designerCode,beforeWord,suggestedAfterWord,customId,confidence
"7466135","A BATHING APE®","","bcm499","needs_manual_review"
"287790","A Kind of Guise","","bcm499","needs_manual_review"
"79785409","A Paper Kid","","bcm499","needs_manual_review"
"3680277","A-COLD-WALL*","","bcm499","needs_manual_review"
"115889317","A.Bocca","","bcm499","needs_manual_review"
"17079316","A.EMERY","","bcm499","needs_manual_review"
"57225","A.L.C.","","bcm499","needs_manual_review"
"103146680","A.M.G.","","bcm499","needs_manual_review"
"6310930","A.N.G.E.L.O. Vintage Cult","","bcm499","needs_manual_review"
"132487047","A.N.G.E.L.O. Vintage Upcycling","","bcm499","needs_manual_review"
"49486","A.P.C.","아페쎄","bcm499","reviewed_or_rule_based"
"1007908","A.W.A.K.E. Mode","","bcm499","needs_manual_review"
"63042304","AARON ESH","","bcm499","needs_manual_review"
"109452350","AAVVA","","bcm499","needs_manual_review"
"16824863","Abercrombie & Fitch","","bcm499","needs_manual_review"
"146976664","ABSEITS","","bcm499","needs_manual_review"
"113422101","absolut cashmere","","bcm499","needs_manual_review"
"6036088","Acler","","bcm499","needs_manual_review"
"8880292","Acne Studios","아크네 스튜디오","bcm499","reviewed_or_rule_based"
"116942784","ACTUALEE","","bcm499","needs_manual_review"
"972014","Adam Lippes","","bcm499","needs_manual_review"
"27795","Add","","bcm499","needs_manual_review"
"6486666","Ader Error","","bcm499","needs_manual_review"
"214504","adidas","","bcm499","needs_manual_review"
"1693960","adidas by Stella McCartney","","bcm499","needs_manual_review"
"4968477","adidas Yeezy","","bcm499","needs_manual_review"
"1315427","Adieu Paris","","bcm499","needs_manual_review"
"6769662","Adina Reyter","","bcm499","needs_manual_review"
"271258","Adriana Degreas","","bcm499","needs_manual_review"
"146394381","ADRIANNA FERETTI","","bcm499","needs_manual_review"
"1300081","AERON","","bcm499","needs_manual_review"
"24203","Aeronautica Militare","","bcm499","needs_manual_review"
"3402278","Aesop","","bcm499","needs_manual_review"
"4580642","Aesther Ekme","","bcm499","needs_manual_review"
"104840622","AEXAE","","bcm499","needs_manual_review"
"4966071","Aeyde","","bcm499","needs_manual_review"
"123494452","AFAR","","bcm499","needs_manual_review"
"12203638","AFTER LABEL","","bcm499","needs_manual_review"
"361771","AG Jeans","","bcm499","needs_manual_review"
"144723216","AGAVE QUADRI","","bcm499","needs_manual_review"
"40518","Agent Provocateur","","bcm499","needs_manual_review"
"5281995","AGL","","bcm499","needs_manual_review"
"38699","Aglini","","bcm499","needs_manual_review"
"54946796","Agmes","","bcm499","needs_manual_review"
"28988","Agnelle","","bcm499","needs_manual_review"
"85732","Agnona","","bcm499","needs_manual_review"
"156434","Agnona Vintage","","bcm499","needs_manual_review"
"6036143","AGOLDE","","bcm499","needs_manual_review"
"1344034","Agua Bendita","","bcm499","needs_manual_review"
"10555427","Agua By Agua Bendita","","bcm499","needs_manual_review"
"1702217","Água de Coco","","bcm499","needs_manual_review"
"1719619","Ahlem","","bcm499","needs_manual_review"
"11875482","Ahluwalia","","bcm499","needs_manual_review"
"652380","Aiayu","","bcm499","needs_manual_review"
"140801791","AIRE","","bcm499","needs_manual_review"
